loja,ean,sku,nome,marca,precoDe,precoPor,oferta,desconto_percentual,print_tela_path,link
jumbo_ar,7790580746612,31109,Chocolate Tofi Relleno 55 Gr,Chocolate,"$ 4.500,00",,,,,https://www.jumbo.com.ar/7790580746612?_q=7790580746612&map=ft
jumbo_ar,7790625000303,299848,Salame Milán Lario Feteado X 150g,Ala,"$ 6.741,00",,,,,https://www.jumbo.com.ar/7790625000303?_q=7790625000303&map=ft
jumbo_ar,7790625005292,257709,Salame Fuet Lario X 150g,Ala,"$ 8.544,00",,,,,https://www.jumbo.com.ar/7790625005292?_q=7790625005292&map=ft
jumbo_ar,7790625005339,299849,Bondiola Lario Feteada X 120g,Bondiola,"$ 8.100,00",,,,,https://www.jumbo.com.ar/7790625005339?_q=7790625005339&map=ft
jumbo_ar,7790625001171,299845,Jamón Cocido Lario Feteado X 150g,Jamón,"$ 5.750,00",,,,,https://www.jumbo.com.ar/7790625001171?_q=7790625001171&map=ft
jumbo_ar,7790625006862,1367152,Salame Fuet Al Pimentón Lario X 150 Gr,Ala,"$ 9.079,00",,,,,https://www.jumbo.com.ar/7790625006862?_q=7790625006862&map=ft
jumbo_ar,7790625006879,1360808,Mortadela Bologna Lario X 300 Gr,Mortadela,"$ 5.050,00",,,,,https://www.jumbo.com.ar/7790625006879?_q=7790625006879&map=ft
jumbo_ar,7790625006893,1360810,Salchichón Con Jamón Lario X 300 Gr,Salchichón,"$ 5.800,00",,,,,https://www.jumbo.com.ar/7790625006893?_q=7790625006893&map=ft
jumbo_ar,7790625006886,1360811,Salchichón Primavera Lario X 300 Gr,Salchichón,"$ 5.800,00",,,,,https://www.jumbo.com.ar/7790625006886?_q=7790625006886&map=ft
jumbo_ar,7790625010272,1368992,Mortadela Con Pistachos Lario Feteada X 100 Gr,Mortadela,"$ 3.542,00",,,,,https://www.jumbo.com.ar/7790625010272?_q=7790625010272&map=ft
jumbo_ar,7790625010302,1368993,Lomo De Cerdo Cocido A La Pimienta Lario X 100,Lomo,"$ 6.634,00",,,,,https://www.jumbo.com.ar/7790625010302?_q=7790625010302&map=ft
jumbo_ar,7790625010289,1368991,Jamón Cocido Horneado Lario X 120 Gr,Jamón,"$ 6.490,00",,,,,https://www.jumbo.com.ar/7790625010289?_q=7790625010289&map=ft
jumbo_ar,7790649000112,43565,Vino Tinto Reserva Malbec 750 Cc Navarro Correas,Vino,"$ 13.800,00",,,,,https://www.jumbo.com.ar/7790649000112?_q=7790649000112&map=ft
jumbo_ar,7790649000136,42731,Vino Tinto Cabernet Sauvignon Reserva 750 Cc Navarro Correas,Vino,"$ 13.800,00",,,,,https://www.jumbo.com.ar/7790649000136?_q=7790649000136&map=ft
jumbo_ar,7790670045502,29071,Salchichas Patyviena Alemanas X 4 250 Gr,Salchichas,"$ 5.700,00",,,,,https://www.jumbo.com.ar/7790670045502?_q=7790670045502&map=ft
jumbo_ar,7790670050605,14843,Hamburguesas Paty De Carne 4 U - 480 Gr,Hamburguesas,"$ 14.650,00",,,,,https://www.jumbo.com.ar/7790670050605?_q=7790670050605&map=ft
jumbo_ar,7790670050612,15166,Hamburguesas Paty De Carne Flow Grandes 2 U - 240 Gr,Hamburguesas,"$ 7.500,00",,,,,https://www.jumbo.com.ar/7790670050612?_q=7790670050612&map=ft
jumbo_ar,7790670050667,14844,Hamburguesas Paty De Carne 12 U- 960 Gr,Hamburguesas,"$ 25.550,00",,,,,https://www.jumbo.com.ar/7790670050667?_q=7790670050667&map=ft
jumbo_ar,7790670050650,14838,Hamburguesas Paty De Carne 4 U - 320 Gr,Hamburguesas,"$ 9.600,00",,,,,https://www.jumbo.com.ar/7790670050650?_q=7790670050650&map=ft
jumbo_ar,7790670050674,14811,Hamburguesas Paty De Carne Flow 2 U - 160 Gr,Hamburguesas,"$ 4.850,00",,,,,https://www.jumbo.com.ar/7790670050674?_q=7790670050674&map=ft
jumbo_ar,7790670050728,14854,Hamburguesas Paty De Carne Finitas 2 U - 110 Gr,Hamburguesas,"$ 3.600,00",,,,,https://www.jumbo.com.ar/7790670050728?_q=7790670050728&map=ft
jumbo_ar,7790670050957,23116,Milanesa Paty De Carne 2 U - 200 Gr,Milanesa,"$ 5.500,00",,,,,https://www.jumbo.com.ar/7790670050957?_q=7790670050957&map=ft
jumbo_ar,7790670050780,9339,Hamburguesa Paty Clasico 20 U- 1.6 Kg,Hamburguesa,"$ 43.000,00",,,,,https://www.jumbo.com.ar/7790670050780?_q=7790670050780&map=ft
jumbo_ar,7790670051831,329651,Hamburguesa Paty De Carne 4u X288g,Hamburguesa,"$ 8.500,00",,,,,https://www.jumbo.com.ar/7790670051831?_q=7790670051831&map=ft
jumbo_ar,7790670052289,388212,Hamburguesas Paty De Carne Verde 4 U - 320 Gr,Hamburguesas,"$ 10.400,00",,,,,https://www.jumbo.com.ar/7790670052289?_q=7790670052289&map=ft
jumbo_ar,7790670052371,408041,Medallón De Carne Express Con Soja 276 Gr,Medallón,"$ 6.100,00",,,,,https://www.jumbo.com.ar/7790670052371?_q=7790670052371&map=ft
jumbo_ar,7790670052395,408060,Salchichas Patyviena Clasicas X 12 460 Gr,Salchichas,"$ 5.400,00",,,,,https://www.jumbo.com.ar/7790670052395?_q=7790670052395&map=ft
jumbo_ar,7790670052388,408059,Salchichas Patyviena Clasicas X 6 230 Gr,Salchichas,"$ 2.850,00",,,,,https://www.jumbo.com.ar/7790670052388?_q=7790670052388&map=ft
jumbo_ar,7790670052401,408061,Salchichas Vienissima X 6 230 Gr,Salchichas,"$ 3.250,00",,,,,https://www.jumbo.com.ar/7790670052401?_q=7790670052401&map=ft
jumbo_ar,7790670052531,410818,Medallon Good Mark Traditional 640 Gr,Medallon,"$ 15.950,00",,,,,https://www.jumbo.com.ar/7790670052531?_q=7790670052531&map=ft
jumbo_ar,7790670052524,408063,Medallónes Good Mark De Carne Tradicional 320 Gr,Medallónes,"$ 8.350,00",,,,,https://www.jumbo.com.ar/7790670052524?_q=7790670052524&map=ft
jumbo_ar,7790670052418,408062,Salchichas Vienissima X 12 460 Gr,Salchichas,"$ 6.100,00",,,,,https://www.jumbo.com.ar/7790670052418?_q=7790670052418&map=ft
jumbo_ar,7790670052678,409924,Medallón De Carne Paty De Casa 240 Gr,Medallón,"$ 7.250,00",,,,,https://www.jumbo.com.ar/7790670052678?_q=7790670052678&map=ft
jumbo_ar,7790670052791,1361080,Hamburguesa Paty De Cancha  250 Gr,Hamburguesa,"$ 7.600,00",,,,,https://www.jumbo.com.ar/7790670052791?_q=7790670052791&map=ft
jumbo_ar,7790670052869,1361081,Medallon De Carne Express 110 Gr,Medallon,"$ 2.550,00",,,,,https://www.jumbo.com.ar/7790670052869?_q=7790670052869&map=ft
jumbo_ar,7790670052999,3069830,Medallon De Soja 4 Un X 340 Gr Good Mark,Medallon,"$ 4.000,00",,,,,https://www.jumbo.com.ar/7790670052999?_q=7790670052999&map=ft
jumbo_ar,7790704870223,3080522,Vino Cabernet X 750 Ml El Bautismo,Vino,"$ 5.650,00",,,,,https://www.jumbo.com.ar/7790704870223?_q=7790704870223&map=ft
jumbo_ar,7790740000264,348145,Shampoo Nutrición 1000 Ml Plusbelle,Shampoo,"$ 5.750,00",,,,,https://www.jumbo.com.ar/7790740000264?_q=7790740000264&map=ft
jumbo_ar,7790740000288,348152,Shampoo Protección 1000 Ml Plusbelle,Shampoo,"$ 5.750,00",,,,,https://www.jumbo.com.ar/7790740000288?_q=7790740000288&map=ft
jumbo_ar,7790740000318,348158,Acondicionador Brillo 1000 Ml Plusbelle,Acondicionador,"$ 5.600,00",,,,,https://www.jumbo.com.ar/7790740000318?_q=7790740000318&map=ft
jumbo_ar,7790740000431,383837,Shampoo Plusbelle Esencia Control Frizz 970ml,Shampoo,"$ 6.350,00",,,,,https://www.jumbo.com.ar/7790740000431?_q=7790740000431&map=ft
jumbo_ar,7790740000349,348127,Acondicionador Nutricion 1000 Ml Plusbelle,Acondicionador,"$ 5.600,00",,,,,https://www.jumbo.com.ar/7790740000349?_q=7790740000349&map=ft
jumbo_ar,7790740000448,383817,Shampoo Esencia Restauración 970 Ml Plusbelle,Shampoo,"$ 6.350,00",,,,,https://www.jumbo.com.ar/7790740000448?_q=7790740000448&map=ft
jumbo_ar,7790740000455,383820,Shampoo Esencia Largo Salud 970 Ml Plusbelle,Shampoo,"$ 6.350,00",,,,,https://www.jumbo.com.ar/7790740000455?_q=7790740000455&map=ft
jumbo_ar,7790740000486,394718,Acondicionador Esencia Restauracion 970 Ml Plusbelle,Acondicionador,"$ 6.350,00",,,,,https://www.jumbo.com.ar/7790740000486?_q=7790740000486&map=ft
jumbo_ar,7790740000493,394716,Acondicionador Largo Saludable 970 Ml Plusbelle,Acondicionador,"$ 6.350,00",,,,,https://www.jumbo.com.ar/7790740000493?_q=7790740000493&map=ft
jumbo_ar,7790740001421,405942,Acondicionador Esencia 970 Ml Plusbelle,Acondicionador,"$ 6.350,00",,,,,https://www.jumbo.com.ar/7790740001421?_q=7790740001421&map=ft
jumbo_ar,7790740001780,417178,Shampoo Plusbelle Esen Oleo Nut Argan 700 Ml,Shampoo,"$ 5.550,00",,,,,https://www.jumbo.com.ar/7790740001780?_q=7790740001780&map=ft
jumbo_ar,7790740001803,417182,Shampoo Plusbelle Esen Oleo Nut Coco 700 Ml,Shampoo,"$ 5.550,00",,,,,https://www.jumbo.com.ar/7790740001803?_q=7790740001803&map=ft
jumbo_ar,7790740001414,405948,Shampoo Esencia 970 Ml Plusbelle,Shampoo,"$ 6.350,00",,,,,https://www.jumbo.com.ar/7790740001414?_q=7790740001414&map=ft
jumbo_ar,7790740001810,417179,Acondicionador Plusbelle Esen Oleo Nut Coco 70,Acondicionador,"$ 5.350,00",,,,,https://www.jumbo.com.ar/7790740001810?_q=7790740001810&map=ft
jumbo_ar,7790740001841,1360832,Shampoo Plusbelle Esencia Revitalizante 700ml,Shampoo,"$ 5.550,00",,,,,https://www.jumbo.com.ar/7790740001841?_q=7790740001841&map=ft
jumbo_ar,7790740001858,1360826,Acondicionador Plusbelle Esencia Revitalizante,Acondicionador,"$ 5.350,00",,,,,https://www.jumbo.com.ar/7790740001858?_q=7790740001858&map=ft
jumbo_ar,7790740608217,331540,Accondicionador Kids Fuerza Natural 700 Ml Plusbelle,Accondicionador,"$ 7.350,00",,,,,https://www.jumbo.com.ar/7790740608217?_q=7790740608217&map=ft
jumbo_ar,7790740608293,331566,Acondicionador Kids Protección Natural 350 Ml Plusbelle,Acondicionador,"$ 4.650,00",,,,,https://www.jumbo.com.ar/7790740608293?_q=7790740608293&map=ft
jumbo_ar,7790740608309,331565,Acondicionador Kids Ph Balanceado 350 Ml Plusbelle,Ala,"$ 4.650,00",,,,,https://www.jumbo.com.ar/7790740608309?_q=7790740608309&map=ft
jumbo_ar,7790742011701,293179,Crema Uat La Serenísima Para Batir 200ml,La Serenisima,"$ 3.450,00",,,,,https://www.jumbo.com.ar/7790742011701?_q=7790742011701&map=ft
jumbo_ar,7790742067005,34722,Dulce De Leche Repostero La Serenisima 400gr,La Serenisima,"$ 4.400,00",,,,,https://www.jumbo.com.ar/7790742067005?_q=7790742067005&map=ft
jumbo_ar,7790742014122,277785,Crema Uat Ls Batir Tetratop520ml,Crema,"$ 7.500,00",,,,,https://www.jumbo.com.ar/7790742014122?_q=7790742014122&map=ft
jumbo_ar,7790742102805,29939,Ricotta Garcia Entera Baja En Sodio 500gr,Ricotta,"$ 4.950,00",,,,,https://www.jumbo.com.ar/7790742102805?_q=7790742102805&map=ft
